ID;lat;lon;Locatie
1074;53,200509;5,794506;Coolcat / Nieuwestad
1078;53,200826;5,793081;We / Nieuwestad
1079;53,200347;5,797128;We / Wirdumerdijk
1625;53,199183;5,792219;Albert Heijn/ Prins Hendrikstraat
1627;53,200104;5,793139;No Nonsens/Ruiterskwartier
1631;53,202216;5,791639;Eric Steenbergen Designwinkel / Kleine Kerkstraat
1636;53,201777;5,796556;Zenzi / Sint Jacobsstraat
2054;53,199645;5,795879;Winkelcentrum Zaailand / Ruiterskwartier
2779;53,202032;5,799048;Cafe Blikspuit / Over de Kelders
1622;53,198300;5,796900;Wirdumerpoortsbrug brugwachtershuisje
